task_id,variant,config,hidden,seed,grad_clip_norm
0,mov,configs/in_intercept.yaml,10,0,0.5
1,mov,configs/in_intercept.yaml,10,1,0.5
2,mov,configs/in_intercept.yaml,10,2,0.5
3,mov,configs/in_intercept.yaml,10,3,0.5
4,mov,configs/in_intercept.yaml,10,4,0.5
5,mov,configs/in_intercept.yaml,20,0,0.5
6,mov,configs/in_intercept.yaml,20,1,0.5
7,mov,configs/in_intercept.yaml,20,2,0.5
8,mov,configs/in_intercept.yaml,20,3,0.5
9,mov,configs/in_intercept.yaml,20,4,0.5
10,vis-mov,configs/in_vis.yaml,10,0,1.0
11,vis-mov,configs/in_vis.yaml,10,1,1.0
12,vis-mov,configs/in_vis.yaml,10,2,1.0
13,vis-mov,configs/in_vis.yaml,10,3,1.0
14,vis-mov,configs/in_vis.yaml,10,4,1.0
15,vis-mov,configs/in_vis.yaml,20,0,1.0
16,vis-mov,configs/in_vis.yaml,20,1,1.0
17,vis-mov,configs/in_vis.yaml,20,2,1.0
18,vis-mov,configs/in_vis.yaml,20,3,1.0
19,vis-mov,configs/in_vis.yaml,20,4,1.0
20,vis-sim-mov,configs/in_vis_occ.yaml,10,0,1.0
21,vis-sim-mov,configs/in_vis_occ.yaml,10,1,1.0
22,vis-sim-mov,configs/in_vis_occ.yaml,10,2,1.0
23,vis-sim-mov,configs/in_vis_occ.yaml,10,3,1.0
24,vis-sim-mov,configs/in_vis_occ.yaml,10,4,1.0
25,vis-sim-mov,configs/in_vis_occ.yaml,20,0,1.0
26,vis-sim-mov,configs/in_vis_occ.yaml,20,1,1.0
27,vis-sim-mov,configs/in_vis_occ.yaml,20,2,1.0
28,vis-sim-mov,configs/in_vis_occ.yaml,20,3,1.0
29,vis-sim-mov,configs/in_vis_occ.yaml,20,4,1.0
30,sim-mov,configs/in_vis_and_occ.yaml,10,0,1.0
31,sim-mov,configs/in_vis_and_occ.yaml,10,1,1.0
32,sim-mov,configs/in_vis_and_occ.yaml,10,2,1.0
33,sim-mov,configs/in_vis_and_occ.yaml,10,3,1.0
34,sim-mov,configs/in_vis_and_occ.yaml,10,4,1.0
35,sim-mov,configs/in_vis_and_occ.yaml,20,0,1.0
36,sim-mov,configs/in_vis_and_occ.yaml,20,1,1.0
37,sim-mov,configs/in_vis_and_occ.yaml,20,2,1.0
38,sim-mov,configs/in_vis_and_occ.yaml,20,3,1.0
39,sim-mov,configs/in_vis_and_occ.yaml,20,4,1.0
